,Language,Model,Accuracy,Translated Accuracy
0,jv,meta-llama/Llama-2-7b-chat-hf,0.5166666666666667,0.5166666666666667
1,jv,mistralai/Mistral-7B-Instruct-v0.2,0.5166666666666667,0.5116666666666667
2,jv,Qwen/Qwen1.5-7B-Chat,0.5183333333333333,0.5183333333333333
3,kn,meta-llama/Llama-2-7b-chat-hf,0.501669449081803,0.503338898163606
4,kn,mistralai/Mistral-7B-Instruct-v0.2,0.4866444073455759,0.4858096828046744
5,kn,Qwen/Qwen1.5-7B-Chat,0.5325542570951586,0.5325542570951586
6,su,meta-llama/Llama-2-7b-chat-hf,0.4216666666666667,0.4216666666666667
7,su,mistralai/Mistral-7B-Instruct-v0.2,0.5416666666666666,0.54
8,su,Qwen/Qwen1.5-7B-Chat,0.4883333333333333,0.4883333333333333
9,sw,meta-llama/Llama-2-7b-chat-hf,0.5045537340619308,0.5036429872495446
10,sw,mistralai/Mistral-7B-Instruct-v0.2,0.5109289617486339,0.5100182149362478
11,sw,Qwen/Qwen1.5-7B-Chat,0.4808743169398907,0.4808743169398907
