,Language,Model,Accuracy,Translated Accuracy
0,jv,meta-llama/Llama-2-7b-chat-hf,0.4933333333333333,0.4966666666666666
1,jv,mistralai/Mistral-7B-Instruct-v0.2,0.5166666666666667,0.5183333333333333
2,jv,Qwen/Qwen1.5-7B-Chat,0.4966666666666666,0.4966666666666666
3,kn,meta-llama/Llama-2-7b-chat-hf,0.4841402337228714,0.4849749582637729
4,kn,mistralai/Mistral-7B-Instruct-v0.2,0.498330550918197,0.5
5,kn,Qwen/Qwen1.5-7B-Chat,0.5075125208681135,0.5075125208681135
6,su,meta-llama/Llama-2-7b-chat-hf,0.4516666666666666,0.4516666666666666
7,su,mistralai/Mistral-7B-Instruct-v0.2,0.43,0.4316666666666666
8,su,Qwen/Qwen1.5-7B-Chat,0.5033333333333333,0.5033333333333333
9,sw,meta-llama/Llama-2-7b-chat-hf,0.5027322404371585,0.5027322404371585
10,sw,mistralai/Mistral-7B-Instruct-v0.2,0.5009107468123861,0.5009107468123861
11,sw,Qwen/Qwen1.5-7B-Chat,0.4908925318761384,0.4908925318761384
