,Language,Model,Accuracy,Translated Accuracy
0,jv,meta-llama/Llama-2-7b-chat-hf,0.5133333333333333,0.5133333333333333
1,jv,mistralai/Mistral-7B-Instruct-v0.2,0.5183333333333333,0.5216666666666666
2,jv,Qwen/Qwen1.5-7B-Chat,0.5033333333333333,0.5033333333333333
3,kn,meta-llama/Llama-2-7b-chat-hf,0.4833055091819699,0.4841402337228714
4,kn,mistralai/Mistral-7B-Instruct-v0.2,0.5075125208681135,0.5108514190317195
5,kn,Qwen/Qwen1.5-7B-Chat,0.5041736227045075,0.5041736227045075
6,su,meta-llama/Llama-2-7b-chat-hf,0.475,0.475
7,su,mistralai/Mistral-7B-Instruct-v0.2,0.515,0.5166666666666667
8,su,Qwen/Qwen1.5-7B-Chat,0.5,0.5
9,sw,meta-llama/Llama-2-7b-chat-hf,0.4990892531876138,0.4990892531876138
10,sw,mistralai/Mistral-7B-Instruct-v0.2,0.5091074681238615,0.5081967213114754
11,sw,Qwen/Qwen1.5-7B-Chat,0.4981785063752277,0.4981785063752277
